"label","subdistrict_id"
"2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat","4568"
"2 X 11 Kayu Tanam, Kabupaten Padang Pariaman, Sumatera Barat","4569"
"Abab, Kabupaten Muara Enim, Sumatera Selatan","4109"
"Abang, Kabupaten Karangasem, Bali","2370"
"Abeli, Kota Kendari, Sulawesi Tenggara","2553"
"Abenaho, Kabupaten Yalimo, Papua","6976"
"Abepura, Kota Jayapura, Papua","2156"
"Abiansemal, Kabupaten Badung, Bali","258"
"Aboy, Kabupaten Pegunungan Bintang, Papua","4857"
"Abuki, Kabupaten Konawe, Sulawesi Tenggara","2787"
"Abun, Kabupaten Tambrauw, Papua Barat","6198"
"Abung Barat, Kabupaten Lampung Utara, Lampung","3224"
"Abung Kunang, Kabupaten Lampung Utara, Lampung","3225"
"Abung Pekurun, Kabupaten Lampung Utara, Lampung","3226"
"Abung Selatan, Kabupaten Lampung Utara, Lampung","3227"
"Abung Semuli, Kabupaten Lampung Utara, Lampung","3228"
"Abung Surakarta, Kabupaten Lampung Utara, Lampung","3229"
"Abung Tengah, Kabupaten Lampung Utara, Lampung","3230"
"Abung Timur, Kabupaten Lampung Utara, Lampung","3231"
"Abung Tinggi, Kabupaten Lampung Utara, Lampung","3232"
"Adi Luwih, Kabupaten Pringsewu, Lampung","5132"
"Adian Koting, Kabupaten Tapanuli Utara, Sumatera Utara","6405"
"Adimulyo, Kabupaten Kebumen, Jawa Tengah","2471"
"Adipala, Kabupaten Cilacap, Jawa Tengah","1437"
"Adiwerna, Kabupaten Tegal, Jawa Tengah","6502"
"Adonara Barat, Kabupaten Flores Timur, Nusa Tenggara Timur (NTT)","1693"
"Adonara Tengah, Kabupaten Flores Timur, Nusa Tenggara Timur (NTT)","1694"
"Adonara Timur, Kabupaten Flores Timur, Nusa Tenggara Timur (NTT)","1695"
"Adonara, Kabupaten Flores Timur, Nusa Tenggara Timur (NTT)","1692"
"Aek Bilah, Kabupaten Tapanuli Selatan, Sumatera Utara","6371"
"Aek Kuasan, Kabupaten Asahan, Sumatera Utara","214"
"Aek Kuo, Kabupaten Labuhan Batu Utara, Sumatera Utara","3075"
"Aek Ledong, Kabupaten Asahan, Sumatera Utara","215"
"Aek Nabara Barumun, Kabupaten Padang Lawas, Sumatera Utara","4545"
